[INFO] [launch]: All log files can be found below /home/sekars/.ros/log/2024-07-15-14-16-26-585783-argentiere-5385
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [1721045786.589475490] [rosbag2_recorder]: Press SPACE for pausing/resuming
[INFO] [1721045786.590653660] [rosbag2_storage]: Opened database 'rosbag_simu_1/rosbag_simu_1_0.db3' for READ_WRITE.
[INFO] [1721045786.591114344] [rosbag2_recorder]: Listening for topics...
[INFO] [1721045786.591157466] [rosbag2_recorder]: Event publisher thread: Starting
[INFO] [1721045786.591622296] [rosbag2_recorder]: Subscribed to topic '/rosout'
[INFO] [1721045786.592038100] [rosbag2_recorder]: Subscribed to topic '/events/write_split'
[INFO] [1721045786.592092264] [rosbag2_recorder]: Recording...
[INFO] [NodeSim-1]: process started with pid [5401]
[INFO] [NodeControl-2]: process started with pid [5403]
[NodeSim-1] [INFO] [1721045787.284427854] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999950
[NodeSim-1] [INFO] [1721045787.285430415] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999956
[NodeSim-1] [INFO] [1721045787.286428178] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999962
[NodeSim-1] [INFO] [1721045787.287470597] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999967
[NodeSim-1] [INFO] [1721045787.288433467] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999971
[NodeSim-1] [INFO] [1721045787.289430809] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999975
[NodeSim-1] [INFO] [1721045787.290476301] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999978
[NodeSim-1] [INFO] [1721045787.291431013] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999981
[NodeSim-1] [INFO] [1721045787.292478071] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999983
[NodeSim-1] [INFO] [1721045787.293434150] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999985
[NodeSim-1] [INFO] [1721045787.294435635] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999987
[NodeSim-1] [INFO] [1721045787.295428095] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999989
[INFO] [1721045787.296758403] [rosbag2_recorder]: Subscribed to topic '/parameter_events'
[NodeSim-1] [INFO] [1721045787.296445345] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999990
[NodeSim-1] [INFO] [1721045787.297433120] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999991
[INFO] [1721045787.298648137] [rosbag2_recorder]: Subscribed to topic '/waterTank1/commande_u'
[NodeSim-1] [INFO] [1721045787.298437445] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999993
[NodeSim-1] [INFO] [1721045787.299430781] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999993
[INFO] [1721045787.300370367] [rosbag2_recorder]: Subscribed to topic '/waterTank1/pose'
[NodeSim-1] [INFO] [1721045787.300465076] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999994
[NodeSim-1] [INFO] [1721045787.301429317] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999995
[NodeSim-1] [INFO] [1721045787.302417373] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999996
[NodeSim-1] [INFO] [1721045787.303414997] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999996
[NodeSim-1] [INFO] [1721045787.304482843] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999997
[NodeSim-1] [INFO] [1721045787.305415545] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999997
[NodeSim-1] [INFO] [1721045787.306492042] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999997
[NodeSim-1] [INFO] [1721045787.307490940] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999998
[NodeSim-1] [INFO] [1721045787.308448132] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999998
[NodeSim-1] [INFO] [1721045787.309413449] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999998
[NodeSim-1] [INFO] [1721045787.310434100] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.311419999] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.312499323] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.313417143] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.314417061] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.315504693] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.316480170] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.317413366] [waterTank1.NodeSim]: Publishing: X_[0] = 9.999999
[NodeSim-1] [INFO] [1721045787.318496287] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.319500016] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.320509705] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.321435490] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.322477694] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.323487864] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.324468236] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.325434329] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.326436173] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.327434705] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.328470002] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.329437033] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.330437913] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.331435493] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.332470691] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.333432461] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.334477955] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.335467491] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.336475689] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.337441363] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
[NodeSim-1] [INFO] [1721045787.338471294] [waterTank1.NodeSim]: Publishing: X_[0] = 10.000000
[NodeSim-1] [INFO] [1721045787.338829555] [rclcpp]: signal_handler(signum=2)
[NodeControl-2] [INFO] [1721045787.338829411] [rclcpp]: signal_handler(signum=2)
[INFO] [NodeSim-1]: process has finished cleanly [pid 5401]
[INFO] [NodeControl-2]: process has finished cleanly [pid 5403]
[INFO] [1721045787.602045017] [rosbag2_cpp]: Writing remaining messages from cache to the bag. It may take a while
[INFO] [1721045787.604595402] [rosbag2_recorder]: Event publisher thread: Exiting
[INFO] [1721045787.604820036] [rosbag2_recorder]: Recording stopped
